state,county_name,candidate,party,mode,votes,Total Votes
Alabama,perry,Richard C. Shelby,Republican,regular,1436,5154
Alabama,pickens,Ron Crumpton,Democratic,absentee,114,9296
Alabama,pickens,Richard C. Shelby,Republican,absentee,211,9296
Alabama,pickens,Write in,Other,regular,6,9296
Alabama,pickens,Ron Crumpton,Democratic,regular,3794,9296
Alabama,pickens,Richard C. Shelby,Republican,regular,5171,9296
Alabama,pike,Write in,Other,absentee,3,12899
Alabama,pike,Ron Crumpton,Democratic,absentee,147,12899
Alabama,pike,Richard C. Shelby,Republican,absentee,267,12899
Alabama,pike,Write in,Other,regular,24,12899
Alabama,pike,Ron Crumpton,Democratic,regular,4890,12899
Alabama,pike,Richard C. Shelby,Republican,regular,7568,12899
Alabama,randolph,Write in,Other,absentee,1,9878
Alabama,randolph,Ron Crumpton,Democratic,absentee,106,9878
Alabama,randolph,Richard C. Shelby,Republican,absentee,409,9878
Alabama,randolph,Write in,Other,regular,8,9878
Alabama,randolph,Ron Crumpton,Democratic,regular,2316,9878
Alabama,randolph,Richard C. Shelby,Republican,regular,7038,9878
Alabama,russell,Write in,Other,absentee,2,18917
Alabama,russell,Ron Crumpton,Democratic,absentee,371,18917
Alabama,russell,Richard C. Shelby,Republican,absentee,514,18917
Alabama,russell,Write in,Other,regular,24,18917
Alabama,russell,Ron Crumpton,Democratic,regular,9114,18917
Alabama,russell,Richard C. Shelby,Republican,regular,8892,18917
Alabama,shelby,Write in,Other,absentee,8,99796
Alabama,shelby,Ron Crumpton,Democratic,absentee,896,99796
Alabama,shelby,Richard C. Shelby,Republican,absentee,2830,99796
Alabama,shelby,Write in,Other,regular,196,99796
Alabama,shelby,Ron Crumpton,Democratic,regular,23533,99796
Alabama,shelby,Richard C. Shelby,Republican,regular,72333,99796
Alabama,stclair,Write in,Other,absentee,3,37873
Alabama,stclair,Ron Crumpton,Democratic,absentee,288,37873
Alabama,stclair,Richard C. Shelby,Republican,absentee,1018,37873
Alabama,stclair,Write in,Other,regular,76,37873
Alabama,stclair,Ron Crumpton,Democratic,regular,6309,37873
Alabama,stclair,Richard C. Shelby,Republican,regular,30179,37873
