state,county,candidate,party,candidatevotes,totalvotes
Arkansas,prairie,Other,Other,125,3444
Arkansas,pulaski,Hillary Clinton,Democratic,89574,159776
Arkansas,pulaski,Donald Trump,Republican,61257,159776
Arkansas,pulaski,Other,Other,8945,159776
Arkansas,randolph,Hillary Clinton,Democratic,1425,6379
Arkansas,randolph,Donald Trump,Republican,4509,6379
Arkansas,randolph,Other,Other,445,6379
Arkansas,st. francis,Hillary Clinton,Democratic,4031,7430
Arkansas,st. francis,Donald Trump,Republican,3195,7430
Arkansas,st. francis,Other,Other,204,7430
Arkansas,saline,Hillary Clinton,Democratic,13256,52100
Arkansas,saline,Donald Trump,Republican,35863,52100
Arkansas,saline,Other,Other,2981,52100
Arkansas,scott,Hillary Clinton,Democratic,602,3510
Arkansas,scott,Donald Trump,Republican,2731,3510
Arkansas,scott,Other,Other,177,3510
Arkansas,searcy,Hillary Clinton,Democratic,601,3728
Arkansas,searcy,Donald Trump,Republican,2955,3728
Arkansas,searcy,Other,Other,172,3728
Arkansas,sebastian,Hillary Clinton,Democratic,12300,44637
Arkansas,sebastian,Donald Trump,Republican,29127,44637
Arkansas,sebastian,Other,Other,3210,44637
Arkansas,sevier,Hillary Clinton,Democratic,1075,4562
Arkansas,sevier,Donald Trump,Republican,3282,4562
Arkansas,sevier,Other,Other,205,4562
Arkansas,sharp,Hillary Clinton,Democratic,1472,7249
Arkansas,sharp,Donald Trump,Republican,5407,7249
Arkansas,sharp,Other,Other,370,7249
Arkansas,stone,Hillary Clinton,Democratic,1203,5618
Arkansas,stone,Donald Trump,Republican,4113,5618
Arkansas,stone,Other,Other,302,5618
Arkansas,union,Hillary Clinton,Democratic,5855,16894
Arkansas,union,Donald Trump,Republican,10456,16894
Arkansas,union,Other,Other,583,16894
Arkansas,van buren,Hillary Clinton,Democratic,1549,7339
Arkansas,van buren,Donald Trump,Republican,5382,7339
Arkansas,van buren,Other,Other,408,7339
Arkansas,washington,Hillary Clinton,Democratic,33366,81861
Arkansas,washington,Donald Trump,Republican,41476,81861
Arkansas,washington,Other,Other,7019,81861
